Padalinio pavadinimas ,"Kategorija, kodas, taisyklių punktas",Pirkimo Nr.,"Sutarties Nr., PVM sąskaitos Nr.",Suma,"Prekių, paslaugų, darbų pavadinimas",Tiekėjai
Viešųjų ryšių skyrius,15 paslaugų kategorija BVPŽ kodas 79810000-5,267,"2011-12-30 PVM sąsk faktūra Nr. 0901995 UAB ""balsas.lt.leidiniai"", 2011-11-30 PVM sąsk faktūra Nr. 0901894 UAB ""balsas.lt.leidiniai"", 2011-11-30 PVM sąsk faktūra Nr. 0901891 UAB ""balsas.lt.leidiniai"", 2011-11-30 PVM sąsk faktūra Nr. 0901893 UAB ""balsas.lt.leidiniai"", 2011-11-30 PVM sąsk faktūra Nr. 0901896 UAB ""balsas.lt.leidiniai"", 2011-11-30 PVM sąsk faktūra Nr. 0901892 UAB ""balsas.lt.leidiniai"", 2011-11-30 PVM sąsk faktūra Nr. 0901895 UAB ""balsas.lt.leidiniai""",11616,Spausdinimo paslaugos,"UAB ""Krašto spauda"", UAB ""Balsas.lt"", UAB ""Lrytas"""
Viešųjų ryšių skyrius,13 paslaugų kategorija BVPŽ kodas 79341000-6,268,"2011-11-30 PVM sąskaita faktūra Nr. 4107 UAB ""EPASAS.LT"", 2011-12-29 PVM sąskaita faktūra Nr. 4160 ""EPASAS.LT""",9996,Informacijos skelbimo internete paslaugos,"UAB ""Krašto spauda"", UAB ""Epasas.lt"", UAB ""15min"""
Pilaitės seniūnija,27 paslaugų kategorija BVPŽ kodas 79952000-2,269,"2011-12-15 sutartis nr. A64-163 (3.10.22-FN4) VšĮ ""Mes jėga""",6700,Renginio Pilaitės seniūnijoje techninis aprūpinimas ir įgarsinimas,"VšĮ ""Mes-jėga"", Audio paslaugų įmonė ""Tamsta"""
Antakalnio seniūnija,27 paslaugų kategorija BVPŽ kodas 79952000-2,270,"2011-12-22 sutartis Nr. A64-168 (3.10.22-FN4) asociacija ""Antakalniečių bendruomenė""",9800,Antakalnio seniūnijos Kalėdinių renginių techninis aprūpinimas ir įgarsinimas,"Antakalnio vaikų ir jaunimo klubas, Asociacija ""Antakalniečių bendruomenė"", VšĮ ""Renginių idėjos ir organizavimas"""
Šnipiškių seniūnija,BVPŽ kodas 45453100-8,271,"2011-11-14 sutartis Nr. A62-123(3.10.21-FN4) UAB ""Stebulė""",1670.96,Laiptų remontas ir turėklų įrengimas,"UAB ""Stebulė"", UAB ""Vilniaus Zunda"", UAB ""Trajana"""
Žvėryno seniūnija,BVPŽ kodas 39224340-3,272,"2011-12-12 sutartis Nr. A68-28 (3.10.23-FN4) UAB ""Tvoros""",1445,Šiukšliadėžių įsigijimas ir pastatymas,"UAB ""Tvoros"", UAB ""Magesta"", UAB ""Bipa"""
Verkių seniūnija,BVPŽ kodas 37400000-2,273,"2011-12-12 PVM sąskaita faktūra Nr. 0365 R.Luniaus įmonė ""RIVAGRIS""",3023.9,Sporto prekių ir reikmenų pirkimas renginiams organizuoti,"R.Luniaus įmonė ""RIVAGRIS"", UAB ""Sporticus LT"", UAB 'PROSPORT.LT"""
Verkių seniūnija,2 paslaugų kategorija BVPŽ kodas 60100000-9,274,"2011.11.22 sutartis Nr. A64-144 (3.10.22-FN-4) UAB ""Vilniaus zunda""",2980,"Verkių seniūnijos kalėdinės eglės transportavimas, pastatymas ir puošimas","UAB ""Alvora"", UAB ""Stebulė"", UAB ""Vilniaus Zunda"""
Verkių seniūnija,BVPŽ kodas 15800000-6,275,2011-12-12 PVM sąskaita faktūra Nr. 0069 G.Zinkevičienės personalinė įmonė,3283.19,Įvairūs maisto produktai seniūnijos bendruomenės renginiams organizuoti,"UAB ""Lukre"", G.Zinkevičienės personalinė įmonė, R. Saulienės personalinė įmonė"
Fabijoniškių seniūnija,27 paslaugų kategorija BVPŽ kodas 7995000-2,276,"2011-12-16 sutartis Nr. A64-164 (3.10.22-FN4) VšĮ ""Mes Jėga""",4950,Kalėdinio renginio techninis aprūpinimas ir įgarsinimas,"VšĮ ""Mes jėga"", UAB ""Fabeta"", Audio paslaugų įmonė ""Tamsta"""
